ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΚΑΝΙΑΤΣΑ ΑΙΜΙΛΙΑ του Παναγιώτη,ΚΑΡΑΓΚΟΥΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΚΩΣΤΑΣ) του Ανδρέα,ΛΙΒΑΝΟΣ ΣΠΥΡΙΔΩΝ-ΠΑΝΑΓΙΩΤΗΣ (ΣΠΗΛΙΟΣ) του Διονυσίου,ΠΑΠΑΘΑΝΑΣΗΣ ΑΘΑΝΑΣΙΟΣ του Δαμιανού,ΠΑΠΑΛΕΞΗ ΠΑΡΑΣΚΕΥΗ (ΕΥΗ) του Γρηγορίου,ΣΑΚΚΑΡΕΛΗ ΑΝΑΣΤΑΣΙΑ του Παναγιώτη,ΣΑΛΜΑΣ ΜΑΡΙΟΣ του Γεωργίου,ΣΤΑΜΑΤΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΦΟΥΝΤΖΟΥΛΑ ΧΡΙΣΤΙΝΑ του Παναγιώτη,ΣΥΡΙΖΑ,ΑΘΑΝΑΣΟΥΛΗ ΒΑΣΙΛΙΚΗ (ΣΙΣΣΥ) του Χρήστου,ΒΑΡΕΜΕΝΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΖΑΜΠΑΡΑΣ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Γεωργίου,ΘΕΟΔΩΡΑΚΗΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΚΑΡΑΓΚΟΥΝΗΣ ΣΤΑΥΡΟΣ του Αθανασίου,ΜΙΧΑΛΑΤΟΥ ΓΕΩΡΓΙΑ του Παναγιώτη,ΜΩΡΑΪΤΗΣ ΑΘΑΝΑΣΙΟΣ (ΘΑΝΟΣ) του Χρήστου,ΠΑΝΤΙΩΡΑ ΦΩΤΕΙΝΗ του Ευαγγέλου,ΤΣΙΜΠΛΗ ΕΙΡΗΝΗ του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Χρήστου,ΚΑΤΣΑΡΗ ΚΩΝΣΤΑΝΤΟΥΛΑ (ΝΤΙΝΑ) του Θωμά,ΚΥΡΙΑΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κυριάκου,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΜΟΥΡΤΖΙΑΠΗΣ ΙΩΑΝΝΗΣ του Ευαγγέλου,ΜΠΙΣΜΠΙΚΗ - ΚΟΝΙΔΑ ΑΙΚΑΤΕΡΙΝΗ του Αθανασίου,ΠΙΣΤΙΟΛΗ ΠΕΡΣΕΦΩΝΗ του Γεωργίου,ΣΤΑΡΑΚΑ ΧΡΙΣΤΙΝΑ του Δημήτριου,ΤΡΥΦΙΑΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημοσθένη,Κ.Κ.Ε.,ΑΡΑΒΑΝΗΣ ΓΕΡΑΣΙΜΟΣ του Ανδρέα,ΚΑΖΑΡΙΔΗ - ΠΑΤΟΥΛΑ ΣΟΦΙΑ του Σωκράτη,ΚΟΤΟΠΟΥΛΗΣ ΣΠΥΡΙΔΩΝ του Ιωάννη,ΚΟΥΤΡΟΥΜΠΑ ΑΘΗΝΑ του Γεωργίου,ΚΩΝΣΤΑΝΤΑΚΟΠΟΥΛΟΥ ΕΙΡΗΝΗ του Φωτίου,ΜΠΟΥΡΑ ΧΡΥΣΟΥΛΑ (ΣΟΥΛΑ) του Ευαγγέλου,ΝΙΚΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ελευθερίου,ΠΑΠΑΝΑΣΤΑΣΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΣΙΕΤΤΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΪΔΙΝΗΣ ΖΑΦΕΙΡΗΣ του Ιωάννη,ΓΛΥΚΟΥ ΕΥΓΕΝΙΑ του Ιωάννη,ΚΑΡΑΚΑΤΣΑΝΗ ΜΑΡΙΑ του Γεωργίου,ΚΑΡΑΚΟΥΣΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΟΥΡΚΟΥ ΑΡΧΟΝΤΙΑ του Ιωάννη,ΣΑΛΑΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΟΣ του Σπυρίδωνος,ΣΟΥΛΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αναστασίου,ΤΑΡΚΑΖΙΚΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΧΑΛΑ- ΛΙΑΚΑΤΑ ΓΕΩΡΓΙΑ του Αυγουστή,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΖΥΓΑ ΕΛΙΑΝΑ του Κωνσταντίνου,ΚΑΡΑΝΗ ΙΩΑΝΝΑ του Σεραφείμ,ΛΟΥΚΑΝΑΡΗΣ ΣΤΕΦΑΝΟΣ του Αθανασίου,ΜΙΖΑΛΟΣ ΒΛΑΣΙΟΣ (ΒΛΑΣΗΣ) του Γεωργίου,ΝΟΥΛΑ ΧΡΥΣΑΝΘΗ (ΧΡΥΣΑ) του Γεωργίου,ΠΑΛΗΓΕΩΡΓΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΡΑΝΤΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΤΖΑΘΑΣ ΘΩΜΑΣ του Παύλου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΠΩΝΗ ΠΑΝΑΓΙΩΤΑ του Σωτηρίου,ΚΟΥΚΟΥΡΗΣ ΕΥΣΤΡΑΤΙΟΣ του Αντωνίου,ΛΑΔΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Αλέξιου,ΛΙΟΤΣΟΥ ΒΑΡΒΑΡΑ του Παναγιώτη,ΜΑΜΑΣΟΥΛΑΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΚΑΠΕΤΑΝΑΚΗΣ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,ΚΑΤΣΕΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΚΑΦΑΡΑΚΗ ΕΛΕΥΘΕΡΙΑ του Βασιλείου,Ο.Κ.Δ.Ε.,ΠΑΠΑΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΥΖΩΤΗΣ ΝΙΚΟΛΑΟΣ του Θωμά,ΒΑΣΙΛΕΙΟΥ ΣΠΥΡΙΔΩΝ του Γρηγορίου,ΒΡΑΧΑ ΜΑΡΙΑ του Βασιλείου,ΕΥΘΥΜΙΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ του Δημητρίου,ΚΟΚΚΙΝΟΒΑΣΙΛΗΣ ΠΟΛΥΔΕΥΚΗΣ του Δημητρίου,ΜΠΑΘΑ ΛΕΜΟΝΙΑ του Αθανασίου,ΤΣΩΛΗ ΕΛΕΝΗ ΑΝΝΑ του Νικολάου,Κίνημα 21,ΠΑΠΑΧΡΙΣΤΟΠΟΥΛΟΥ ΕΛΕΝΗ του Άγγελου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΠΑΛΑΙΟΔΗΜΟΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,ΝΙΚΗ,ΑΛΕΞΑΚΗ ΒΑΣΙΛΙΚΗ του Ιωάννου,ΚΑΜΖΕΛΑΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΜΑΛΕΣΙΑΔΑΣ ΒΑΣΙΛΕΙΟΣ του Μιχαήλ,κοινωνία αξιών,ΠΙΣΤΙΩΛΗ ΠΑΝΑΓΙΩΤΑ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΠΑΤΣΑΟΥΡΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΕΤΑΡΟΥΔΑ ΦΡΕΙΔΕΡΙΚΗ του Κωνσταντίνου,ΣΤΑΜΟΥΛΗ ΠΑΤΡΟΥΛΑ του Ευάγγελου,Ο.Α.Κ.Κ.Ε.,ΠΕΤΡΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Αλεξάνδρου,Μ-Λ Κ.Κ.Ε.,ΖΑΡΑΒΙΝΑΣ ΣΩΚΡΑΤΗΣ του Μιχαήλ,Ελλήνων Συνέλευσις,ΓΙΑΝΝΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΓΡΟΜΗΤΣΑΡΗ ΛΑΜΠΡΙΝΗ του Νικολάου,ΚΑΤΣΟΥΔΑ ΕΥΣΤΑΘΙΑ του Παντελή,ΜΠΙΤΣΙΚΩΚΟΣ ΒΛΑΣΙΟΣ του Δημητρίου,ΣΑΠΑΤΗΣ ΑΝΔΡΕΑΣ του Ιωάννη,ΣΑΠΑΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΣΑΡΑΚΗΣ ΑΓΓΕΛΟΣ του Σπυρίδων,ΦΟΡΑΔΟΥΛΑ ΙΩΑΝΝΑ του Γεωργίου,Ένωση Κεντρώων,ΜΠΕΜΠΕΛΑ ΒΑΡΒΑΡΑ του Στυλιανού,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΓΓΕΛΙΚΗ του Δημητρίου,ΣΚΑΝΔΑΛΟΣ ΓΡΗΓΟΡΙΟΣ του Σωτηρίου,ΤΗΛΕΜΑΧΟΥ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΓΓΕΛΟΠΟΥΛΟΣ ΟΔΥΣΣΕΥΣ του Ηλία,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΛΕΞΑΝΔΡΑΚΗ ΕΙΡΗΝΗ του Αθανασίου,ΒΑΣΣΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΑΡΑΜΠΕΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χαραλάμπους,ΜΠΟΥΤΡΗ ΑΘΗΝΑ του Γεωργίου,ΠΑΠΑΚΩΣΤΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΑΛΑΜΠΑΛΙΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΦΙΛΙΠΠΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΠΟΔΙΣΤΡΙΑΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΟΥΣΙΑ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΣΕΡΑΦΗΣ ΑΠΟΣΤΟΛΟΣ του Ευάγγελου,ΤΡΑΣΙΑ ΑΛΕΞΑΝΔΡΑ του Βασιλείου,Οικολόγοι Πράσινοι,ΚΑΠΡΕΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ηλία,ΠΡΕΖΑΣ ΠΑΝΤΕΛΗΣ του Αθανασίου,ΤΣΙΡΙΓΚΑ ΓΡΗΓΟΡΙΑ του Αθανασίου,ΕΑΝ...,ΠΕΡΔΙΚΑΡΗΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΕΡΜΙΤΖΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Μιχαήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΚΑΝΔΑΛΟΥ ΕΛΕΝΗ του Σωτηρίου
30 - Αιτωλοακαρνανίας,441 E.T. Δήμου Ναυπακτίας,138,51,0,0,0,51,24,0,7,15,18,0,0,1,0,3,13,1,4,4,3,2,0,3,2,0,8,1,0,0,4,0,2,0,7,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,442 E.T. Δήμου Ναυπακτίας,137,28,0,0,0,28,13,0,1,1,6,0,3,11,0,3,3,0,0,0,3,0,0,0,1,0,3,2,0,0,3,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,443 E.T. Δήμου Ναυπακτίας,36,10,0,1,1,9,3,0,1,1,3,0,0,0,0,0,3,0,0,2,1,0,0,0,3,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,444 E.T. Δήμου Ναυπακτίας,259,105,0,0,0,105,48,0,15,7,36,0,1,13,1,5,23,1,7,7,6,2,0,8,5,0,12,1,0,0,9,0,7,0,5,0,11,2,1,0,0,1,1,0,4,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2
30 - Αιτωλοακαρνανίας,445 E.T. Δήμου Ναυπακτίας,455,330,3,3,6,324,153,0,22,35,122,0,2,37,1,30,49,4,12,9,17,2,2,5,2,1,45,1,15,0,28,0,5,2,13,1,8,3,1,1,1,1,1,0,2,0,14,2,1,5,3,1,3,3,1,0,8,2,1,0,0,1,0,0,3,8,2,1,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,5,3,2,2,1,1,0,1,6,2,0,3,1,1,0,0,10,6
30 - Αιτωλοακαρνανίας,446 E.T. Δήμου Ναυπακτίας,155,89,0,0,0,89,50,1,22,7,29,0,2,6,0,4,20,1,6,4,5,2,0,6,5,1,6,0,1,1,4,0,1,0,0,1,3,0,0,0,1,1,0,0,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,447 E.T. Δήμου Ναυπακτίας,260,173,0,0,0,173,63,1,15,4,53,1,2,10,0,14,41,2,11,20,14,1,0,15,1,1,34,1,1,0,22,1,2,0,18,4,7,0,1,0,2,0,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,2,1,1,0,0,0,0,0,3,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,448 E.T. Δήμου Ναυπακτίας,318,173,3,0,3,170,70,0,20,18,50,1,0,6,1,6,26,0,4,2,4,4,4,6,2,2,39,0,2,0,2,1,1,7,12,0,5,2,0,0,0,0,0,0,3,2,5,3,4,1,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,449 E.T. Δήμου Ναυπακτίας,305,192,2,1,3,189,89,1,30,28,59,1,0,25,0,8,29,3,3,5,10,6,1,8,2,2,27,1,1,1,21,1,5,0,7,2,8,2,0,0,0,2,0,1,0,0,10,4,4,1,1,0,1,1,2,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,2,3,7,1,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0
30 - Αιτωλοακαρνανίας,450 E.T. Δήμου Ναυπακτίας,570,355,9,1,10,345,143,1,28,48,89,2,1,36,1,33,53,4,16,14,30,2,4,9,1,1,84,1,7,1,63,1,10,0,24,4,16,4,1,0,3,1,2,0,3,4,7,4,3,1,0,2,2,0,1,0,11,1,1,0,0,1,1,1,6,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,11,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,1,1,1,0,3,1,0,1,0,0,0,0,7,2
30 - Αιτωλοακαρνανίας,451 E.T. Δήμου Ναυπακτίας,421,309,4,3,7,302,160,0,59,44,105,0,1,58,3,23,50,5,15,10,13,9,1,14,6,4,37,4,1,1,24,2,4,1,16,1,8,0,0,1,0,1,1,0,1,2,9,1,1,0,1,0,1,0,0,2,5,0,1,1,0,0,2,0,1,7,1,2,2,1,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,5,3,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,6,4
30 - Αιτωλοακαρνανίας,452 E.T. Δήμου Ναυπακτίας,408,286,7,0,7,279,127,1,43,18,93,1,1,38,2,21,61,4,21,10,8,5,1,23,12,3,45,1,2,0,34,0,7,1,15,1,8,2,0,0,0,1,1,0,2,1,5,0,2,3,2,1,0,0,1,0,5,0,2,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,6,0,1,2,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,7
30 - Αιτωλοακαρνανίας,453 E.T. Δήμου Ναυπακτίας,401,306,2,2,4,302,145,1,25,61,25,0,1,22,3,31,51,2,20,10,20,4,0,23,4,3,62,8,1,3,50,0,13,1,11,1,3,0,0,0,0,0,0,0,0,0,9,1,0,1,2,0,1,1,0,2,1,0,1,0,0,0,0,0,1,8,0,5,1,2,1,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2
30 - Αιτωλοακαρνανίας,454 E.T. Δήμου Ναυπακτίας,528,317,6,3,9,308,136,4,32,27,85,1,0,34,5,30,52,4,9,11,15,6,2,15,8,4,46,3,5,4,30,0,17,1,9,2,15,1,2,1,2,0,2,2,3,3,11,3,2,0,1,1,1,3,0,2,13,3,2,0,1,6,0,0,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,9,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,0,0,0,2,0,0,1,1,1,1,1,1,0,0,2,0,0,0,1,0,0,0,8,6
30 - Αιτωλοακαρνανίας,455 E.T. Δήμου Ναυπακτίας,531,310,7,2,9,301,112,0,30,25,59,1,0,21,9,34,68,6,20,17,7,3,3,27,12,4,40,1,4,2,28,0,11,2,10,3,20,2,5,3,3,0,0,1,10,7,13,5,4,3,1,2,1,1,0,1,7,1,2,0,0,5,0,0,2,2,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,8,4,3,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,1,0,2,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,4,2,14,11
30 - Αιτωλοακαρνανίας,456 E.T. Δήμου Ναυπακτίας,517,298,5,2,7,291,129,3,47,16,75,3,1,10,8,36,50,1,8,22,14,12,1,9,7,5,55,6,9,1,36,0,12,0,16,7,14,2,1,0,2,1,1,2,2,1,7,3,1,2,0,0,0,0,2,0,8,2,1,0,1,0,0,0,0,5,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,5,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,2,1,0,0,5,2
30 - Αιτωλοακαρνανίας,457 E.T. Δήμου Ναυπακτίας,537,318,3,1,4,314,147,0,20,28,93,1,2,33,4,41,53,2,9,12,18,4,3,25,7,2,49,0,7,4,31,0,1,0,10,2,15,3,2,0,2,1,4,2,2,1,8,2,2,3,2,1,1,3,0,1,5,1,0,1,0,2,0,1,2,3,1,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,3,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,7,1,5,1,0,0,1,1,2,0,1,1,1,0,1,1,2,0,1,1,0,0,2,1,6,4
30 - Αιτωλοακαρνανίας,458 E.T. Δήμου Ναυπακτίας,528,348,6,0,6,342,134,1,31,29,70,1,0,28,5,38,60,5,18,27,13,4,1,11,4,2,78,6,6,2,56,1,13,2,24,3,17,3,0,2,3,1,3,2,6,3,12,3,4,3,0,1,2,0,1,2,5,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,3,0,1,1,1,4,4,6,2,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,1,0,1,0,0,3,1,1,1,0,0,0,0,6,3,4,2,0,0,0,0,6,5
30 - Αιτωλοακαρνανίας,459 E.T. Δήμου Ναυπακτίας,523,321,2,1,3,318,145,3,48,25,73,0,1,27,7,37,52,1,6,8,19,6,5,20,6,0,62,7,2,1,42,1,3,1,17,9,18,3,1,1,3,0,2,0,6,5,2,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,3,6,0,3,0,0,4,3,3,0,0,0,0,2,0,0,1,0,0,0,1,2,2,2,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,1,0,1,1,1,1,0,0,0,0,3,1,1,1,1,0,0,0,6,4
30 - Αιτωλοακαρνανίας,460 E.T. Δήμου Ναυπακτίας,544,362,7,3,10,352,130,4,27,27,85,1,1,30,3,30,86,6,21,25,14,13,1,29,14,7,50,1,4,1,36,0,17,0,15,2,18,0,2,1,1,2,1,0,6,7,19,6,6,1,3,1,1,2,0,1,7,2,3,1,0,1,0,0,1,2,0,1,1,2,0,2,2,1,0,0,0,1,0,0,0,1,0,0,1,4,2,2,1,11,8,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,1,1,2,0,0,2,1,1,1,1,1,0,0,3,0,1,1,0,0,0,0,6,4
30 - Αιτωλοακαρνανίας,461 E.T. Δήμου Ναυπακτίας,520,346,10,0,10,336,154,2,36,25,93,2,1,23,16,33,56,6,12,19,9,7,3,12,7,4,50,3,5,2,42,0,5,3,10,1,17,2,1,1,1,0,0,2,7,3,11,0,3,1,2,2,0,0,0,0,2,1,0,0,0,1,0,0,0,7,1,5,0,0,2,1,1,0,0,0,0,2,0,0,0,1,0,0,0,2,1,3,2,11,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,1,0,1,0,2,1,0,0,9,4
30 - Αιτωλοακαρνανίας,462 E.T. Δήμου Ναυπακτίας,521,314,5,3,8,306,152,3,41,19,99,4,2,24,11,34,66,8,17,18,19,8,4,19,8,4,36,0,1,0,34,0,4,0,7,0,6,1,0,0,1,0,0,0,3,2,10,2,1,1,3,1,0,0,1,2,13,2,2,0,0,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,2,3,1,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,4,3
