ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΑΝΕΛΛΟΣ ΣΤΥΛΙΑΝΟΣ του Ευαγγέλου,ΚΟΤΡΩΝΙΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΜΑΚΡΗ-ΘΕΟΔΩΡΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΟΙΚΟΝΟΜΟΥ ΙΩΑΝΝΗΣ (ΓΙΑΝΝΗΣ) του Δημητρίου,ΣΙΜΟΥ-ΠΑΛΑΙΟΛΟΓΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Ηλία,ΣΤΑΪΚΟΥΡΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΣΥΡΙΖΑ,ΓΙΑΒΡΗ ΠΑΡΑΣΚΕΥΗ του Θεοφάνη,ΚΑΡΑΦΕΡΗ ΑΡΓΥΡΩ του Νικολάου,ΛΑΖΟΥ ΒΑΣΙΛΙΚΗ του Ανδρέα,ΛΟΥΚΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΠΑΠΟΥΤΣΑΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΣΑΡΑΚΙΩΤΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΤΕΡΡΙΩΤΗ ΚΩΝΣΤΑΝΤΙΑ του Παναγιώτη,ΒΕΝΤΟΥΡΗ - ΝΑΣΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Κωνσταντίνου -Βασιλείου,ΜΑΣΤΡΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΠΕΤΣΙΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΠΑΠΑΓΟΡΑΣ ΑΝΤΩΝΙΟΣ του Αθανασίου,ΤΣΩΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,Κ.Κ.Ε.,ΚΟΥΤΣΟΥΜΠΑΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΓΕΡΟΚΟΥΔΗ ΔΗΜΗΤΡΑ του Αθανασίου,ΜΠΑΣΔΕΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΠΑΦΟΥΤΣΟΥ ΑΝΤΡΙΑΝΑ του Γεωργίου,ΠΑΣΟΥΛΑΣ ΧΡΙΣΤΟΣ του Γεωργίου,ΠΟΛΙΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΝΤΖΟΛΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΒΟΥΡΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΔΗΜΗΤΡΑΝΤΖΟΥ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΛΑΪΛΑΚΙΔΟΥ ΕΛΠΙΣ του Λαζάρου,ΜΠΟΧΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θωμά,ΜΥΛΩΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Μιχαήλ,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΚΟΤΖΑΜΑΝΗΣ ΔΟΝΑΤΟΣ του Οδυσσέα,ΚΟΤΡΩΝΗΣ ΙΩΑΝΝΗΣ του Χρήστου,ΡΑΜΜΟΥ ΔΕΣΠΟΙΝΑ του Αθανασίου,ΤΣΑΚΑΛΟΥ ΑΡΓΥΡΟΥΛΑ (ΥΡΩ) του Ιωάννη,ΤΣΙΡΩΝΗΣ ΜΙΛΤΙΑΔΗΣ του Ιωάννη,ΦΥΣΟΛΟΗΣ ΑΝΑΣΤΑΣΙΟΣ-ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΛΑΟΥΤΑΡΗΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΒΕΡΟΥΣΗ ΣΟΦΙΑ του Γεωργίου,ΓΑΛΑΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΚΤΕΝΑ ΣΜΑΡΩ του Αθανασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΥΛΑΚΙΩΤΗΣ ΑΠΟΣΤΟΛΟΣ του Ιωάννη,ΔΑΡΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΖΟΥΜΠΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜΕΛΕΤΗ ΧΡΥΣΑΝΘΗ του Αλεξάνδρου,ΜΕΛΛΙΟΣ ΙΩΑΝΝΗΣ του Φωτίου,ΤΖΙΟΥΒΑΡΑ ΟΛΥΜΠΙΑ ΠΑΡΑΣΚΕΥΗ του Κωνσταντίνου,Κίνημα 21,ΖΑΧΑΡΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΤΣΙΤΟΥΡΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Βασιλείου,ΜΑΡΑΝΔΙΑΝΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΠΑΛΑΙΟΛΟΓΟΥ ΜΑΡΙΑ του Λάμπρου,ΣΙΟΥΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΝΙΚΗ,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευάγγελου,ΚΑΡΑΤΖΑ ΟΛΓΑ του Πέτρου,ΤΥΡΜΠΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΦΑΚΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννου,κοινωνία αξιών,ΚΑΛΛΙΩΡΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΟΥΡΣΑΙΤΙΔΗΣ ΠΕΡΙΚΛΗΣ του Χαράλαμπου,ΣΙΨΗ ΕΥΣΤΑΘΙΑ του Δημητρίου,Ο.Α.Κ.Κ.Ε.,ΠΟΛΥΔΕΥΚΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΚΑΡΑΜΗΤΣΟΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΚΥΒΩΤΙΔΟΥ ΔΟΜΝΙΚΗ του Παναγιώτη,ΤΑΓΚΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Στεργίου,Ένωση Κεντρώων,ΚΑΡΑΒΕΛΟΥ ΑΡΓΥΡΟΥΛΑ του Ευθυμίου,ΣΑΒΒΙΔΗΣ - ΒΑΣΙΛΕΙΑΔΗΣ ΛΑΖΑΡΟΣ του Ευστάθιου,ΧΛΙΑΠΑ ΜΑΡΙΑ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΤΣΑΟΥΝΗΣ ΣΤΑΥΡΟΣ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΡΑΣΑΝΤΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΟΥΣΤΑΚΑ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΠΑΝΟΥ ΧΡΗΣΤΟΣ του Ευσταθίου,ΦΥΚΑ ΦΡΕΙΔΕΡΙΚΗ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΖΗΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΑΓΚΛΑΡΑ ΕΥΘΑΛΙΑ του Νικολάου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΚΩΣΤΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,Οικολόγοι Πράσινοι,ΑΔΑΜΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΡΑΠΑ ΑΝΝΑ του Κωνσταντίνου,ΣΚΑΜΑΓΚΟΣ ΘΕΟΔΩΡΟΣ του Μιχαήλ,ΕΑΝ...,ΛΕΜΟΝΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΕΒΕΝΤΗ ΕΛΕΝΗ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΑΛΕΞΙΟΥ ΑΝΑΡΓΥΡΟΣ του Αλεξάνδρου,ΑΝΑΣΤΑΣΙΟΥ ΔΗΜΗΤΡΑ του Βασιλείου,ΘΕΟΦΑΝΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κοσμά,ΛΙΘΑΔΙΩΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΜΙΧΑΣ ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΧΟΝΔΡΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου
33 - Φθιώτιδας,189 E.T. Δήμου Λαμιέων,411,264,3,0,3,261,142,3,32,30,65,1,80,43,1,1,14,12,7,32,30,3,5,3,10,1,17,8,0,0,2,1,0,0,5,0,2,1,0,0,0,5,2,1,1,0,1,0,2,2,1,0,1,0,0,1,0,1,0,0,0,1,2,0,1,0,2,2,1,1,0,5,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,1,1,0,0,3,3,0,0,1,0,1,0,0,0,0,0,4,2,1,1,0,0,0
33 - Φθιώτιδας,190 E.T. Δήμου Λαμιέων,341,250,6,2,8,242,97,2,20,12,50,5,67,57,3,7,9,14,7,35,23,3,6,3,7,4,12,9,0,4,0,1,1,0,12,2,1,6,0,2,3,7,2,1,2,1,1,1,4,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,3,4,2,4,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,4,4,3,1,0,0,0,1,0
33 - Φθιώτιδας,191 E.T. Δήμου Λαμιέων,366,253,6,3,9,244,136,5,25,24,63,0,98,40,2,4,9,6,6,28,12,1,5,0,2,2,5,9,0,1,4,3,2,0,18,2,0,8,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,2,0,3,0,3,1,0,1,2,8,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0
33 - Φθιώτιδας,192 E.T. Δήμου Λαμιέων,325,259,10,4,14,245,110,10,33,11,42,3,76,30,0,2,6,6,5,23,47,2,16,5,21,5,23,16,0,5,5,1,0,1,3,1,1,2,0,0,0,4,2,0,0,2,1,0,2,1,2,0,0,0,0,3,2,0,0,0,0,1,1,0,4,2,2,1,0,1,1,7,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,0,0,0,0,1,0,7,3,1,3,0,1,0
33 - Φθιώτιδας,193 E.T. Δήμου Λαμιέων,366,271,4,1,5,266,109,3,24,8,31,1,80,54,2,5,16,14,9,34,28,3,4,10,6,4,16,18,0,4,5,2,1,4,11,3,4,4,1,0,2,2,1,1,0,0,0,0,4,3,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,10,3,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,1,0,2,2,2,0,0,5,3,0,0,3,1,1,0,0,0,3,2,3,1,0,1,1,0,0
33 - Φθιώτιδας,194 E.T. Δήμου Λαμιέων,467,332,10,1,11,321,131,5,30,17,69,4,89,72,5,12,12,12,9,58,39,3,8,1,7,5,25,12,0,4,5,3,0,3,14,5,3,4,0,2,2,13,2,2,1,3,1,0,2,2,5,5,3,0,0,0,0,0,0,0,0,0,5,3,1,1,1,1,0,1,0,10,5,8,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,1,1,1,0,0,0,1,1,5,5,0,0,2,0,0,0,0,0,0,0,4,2,1,0,0,0,0
33 - Φθιώτιδας,195 E.T. Δήμου Λαμιέων,483,344,10,1,11,333,139,3,52,20,56,4,89,71,9,8,15,8,20,50,34,6,9,1,10,5,21,15,0,4,8,3,2,2,21,13,5,6,1,0,4,7,1,0,4,2,2,0,2,2,2,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,4,2,1,0,1,12,2,5,6,3,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1,1,1,0,1,0,0,0,0,2,1,1,1,1,1,4,2,2,1,0,0,0,0,11,3,4,2,1,1,0
33 - Φθιώτιδας,196 E.T. Δήμου Λαμιέων,466,317,3,5,8,309,120,5,42,13,41,3,74,81,7,13,12,7,15,49,41,4,6,3,16,2,29,10,0,0,4,0,0,2,13,4,3,3,0,2,1,7,2,0,0,0,2,0,7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3,0,1,10,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0,0,0,0,1,1,0,0,3,2,2,0,0,0,0,0,5,0,2,3,2,0,0
33 - Φθιώτιδας,197 E.T. Δήμου Λαμιέων,466,346,11,1,12,334,135,3,47,8,65,1,86,90,4,11,15,9,15,70,30,3,4,0,4,2,16,15,0,3,6,0,3,1,18,7,5,3,3,0,2,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,2,0,1,1,0,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3,2,2,0,0,1,1,1,1,6,5,0,0,4,1,1,0,1,1,1,1,6,4,3,0,2,1,0
33 - Φθιώτιδας,198 E.T. Δήμου Λαμιέων,458,345,11,0,11,334,136,13,26,22,59,2,94,75,2,5,29,8,8,59,31,2,3,0,10,3,16,17,0,2,1,0,0,1,10,5,3,4,1,1,1,6,1,0,1,1,2,1,1,1,4,3,1,0,0,2,0,0,1,1,0,1,1,0,1,0,7,3,1,0,1,10,2,4,1,3,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2,2,4,3,2,0,1,0,0,3,1,0,0,0,0,3,0,3,1,8,7,1,1,9,6,2,2,1,1,0
33 - Φθιώτιδας,199 E.T. Δήμου Λαμιέων,467,362,11,1,12,350,156,9,26,16,81,4,108,64,4,7,13,17,11,41,40,4,7,4,14,9,21,27,0,1,8,3,2,0,18,4,2,4,1,2,5,1,1,0,0,0,0,0,0,0,4,1,0,0,0,3,1,0,1,1,1,0,0,0,0,0,6,1,1,0,0,9,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,2,1,0,1,0,0,1,0,0,0,0,0,4,4,1,2,2,2,1,0,9,2,0,1,0,2,0
33 - Φθιώτιδας,200 E.T. Δήμου Λαμιέων,448,340,3,3,6,334,150,12,40,19,92,1,86,78,6,16,18,9,8,47,33,8,7,2,11,8,18,12,0,2,5,2,0,1,10,0,5,2,1,1,0,8,3,0,1,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,0,0,2,6,3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,1,2,1,2,1,1,0,2,0,11,4,4,0,1,2,1
33 - Φθιώτιδας,201 E.T. Δήμου Λαμιέων,444,348,5,1,6,342,157,8,39,23,74,4,102,73,6,14,20,16,6,46,54,11,9,4,15,5,28,11,0,3,5,0,0,1,5,1,5,2,0,0,0,4,2,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,1,8,5,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,3,3,3,0,0,2,1,0,0,1,1,2,2,4,1,2,1,1,1,0,0,5,0,1,0,0,1,0
33 - Φθιώτιδας,202 E.T. Δήμου Λαμιέων,435,310,3,2,5,305,107,6,29,12,46,6,69,86,3,9,14,14,19,58,46,5,3,13,15,3,27,12,0,5,6,2,0,3,15,3,0,7,2,1,3,8,5,1,2,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,4,3,0,0,4,0,2,0,0,6,2,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,2,1,0,0,2,1,0,0,0,0,0,0,4,1,2,2,1,1,1
33 - Φθιώτιδας,203 E.T. Δήμου Λαμιέων,417,289,5,2,7,282,114,10,33,10,49,1,77,72,13,6,20,16,6,47,29,9,5,15,1,2,15,27,0,7,8,4,0,5,9,2,2,3,1,0,3,9,2,1,0,2,5,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,7,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,3,0,1,1,1
33 - Φθιώτιδας,204 E.T. Δήμου Λαμιέων,527,378,5,0,5,373,189,14,30,41,101,6,110,65,3,5,10,8,14,46,48,7,5,6,10,4,40,18,0,2,9,2,2,9,13,3,4,5,6,2,0,5,0,0,1,0,0,2,4,4,0,0,0,0,0,2,0,0,1,0,0,0,3,2,3,2,2,1,0,1,0,7,5,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,0,0,0,1,1,6,0,4,4,0,0,0
33 - Φθιώτιδας,205 E.T. Δήμου Λαμιέων,506,365,8,2,10,355,204,20,34,35,109,1,111,56,5,2,6,13,4,41,34,2,5,5,11,0,24,13,0,5,7,3,0,5,10,3,2,2,1,0,2,5,1,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,4,4,7,2,1,0,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,3,2,0,0,1,0,1,0,1,0,0,0,7,2,4,2,1,0,0
33 - Φθιώτιδας,206 E.T. Δήμου Λαμιέων,258,182,1,0,1,181,102,6,26,28,46,4,56,24,1,0,7,7,3,11,32,5,4,10,9,10,18,5,0,2,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
33 - Φθιώτιδας,207 E.T. Δήμου Λαμιέων,309,224,1,1,2,222,99,3,20,17,41,3,76,38,3,6,6,7,1,27,41,3,5,9,16,12,24,9,0,0,0,0,1,1,6,0,1,2,1,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,1,0,7,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,1,3,0,1,0,1,0,0
33 - Φθιώτιδας,208 E.T. Δήμου Λαμιέων,322,209,3,1,4,205,100,9,20,28,52,3,59,30,4,0,8,7,5,23,21,1,5,9,6,1,13,7,0,2,0,1,0,0,33,3,29,2,1,3,0,2,0,0,1,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,4,1,2,1,0,0,2
33 - Φθιώτιδας,209 E.T. Δήμου Λαμιέων,404,272,0,1,1,271,127,4,10,58,54,1,67,39,1,4,10,9,7,25,51,5,4,3,18,5,40,10,0,1,2,2,2,0,10,0,6,2,1,2,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,4,3,1,0,1,0,0,0,0,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,7,1,1,1,0,0,0
33 - Φθιώτιδας,210 E.T. Δήμου Λαμιέων,419,242,2,1,3,239,97,7,35,5,42,0,62,53,6,8,13,11,3,30,31,2,5,1,9,2,14,31,0,2,11,3,0,3,5,2,1,0,1,0,0,3,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,1,1,1,1,0,0,1,0,7,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,4,1,1,1,0
33 - Φθιώτιδας,211 E.T. Δήμου Λαμιέων,354,208,7,0,7,201,78,2,18,4,49,1,41,43,3,5,12,7,7,27,12,2,3,1,4,0,7,39,0,5,26,5,0,21,4,1,1,0,1,0,1,5,0,2,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,2,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0
33 - Φθιώτιδας,212 E.T. Δήμου Λαμιέων,279,173,2,1,3,170,63,5,11,4,39,3,40,37,4,6,7,5,1,27,14,1,7,1,3,2,7,32,0,6,9,5,0,8,1,0,0,0,0,0,0,7,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0
33 - Φθιώτιδας,213 E.T. Δήμου Λαμιέων,69,37,0,0,0,37,16,0,7,2,7,0,11,4,0,2,1,0,0,2,5,1,0,1,1,0,3,5,0,1,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33 - Φθιώτιδας,214 E.T. Δήμου Λαμιέων,248,166,1,1,2,164,63,1,16,9,46,1,36,31,2,3,1,9,0,24,35,7,9,0,9,6,16,6,0,0,0,0,0,1,4,0,0,0,0,0,1,2,1,0,0,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,5,2,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,0,1,0
33 - Φθιώτιδας,215 E.T. Δήμου Λαμιέων,156,118,1,3,4,114,49,6,6,6,31,1,35,20,1,3,5,0,1,12,23,0,1,15,1,0,18,1,0,0,0,0,0,0,3,1,0,0,0,0,3,2,0,0,0,0,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0
33 - Φθιώτιδας,216 E.T. Δήμου Λαμιέων,95,48,0,0,0,48,27,1,6,15,6,0,12,15,1,0,2,1,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
33 - Φθιώτιδας,217 E.T. Δήμου Λαμιέων,179,114,0,1,1,113,37,1,5,4,23,1,18,26,2,2,7,12,2,15,17,1,1,3,7,0,12,11,0,0,5,1,0,4,4,1,2,1,1,0,1,1,0,0,0,1,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,1,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33 - Φθιώτιδας,218 E.T. Δήμου Λαμιέων,56,43,4,0,4,39,15,0,2,1,9,0,13,9,2,1,3,1,0,7,4,0,0,0,0,0,3,4,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33 - Φθιώτιδας,219 E.T. Δήμου Λαμιέων,260,176,4,0,4,172,67,7,8,12,37,3,38,30,3,5,7,4,3,20,15,4,3,1,9,0,7,14,0,2,6,2,2,2,8,4,2,2,1,0,1,4,0,0,0,3,1,3,3,2,0,0,0,0,0,1,0,0,0,1,0,0,6,3,0,0,2,1,1,0,1,10,2,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,7,1,3,0,1,1,1
33 - Φθιώτιδας,220 E.T. Δήμου Λαμιέων,348,238,2,1,3,235,92,8,26,13,37,7,48,49,6,4,11,13,0,30,25,0,3,0,12,0,15,21,0,5,14,4,2,4,10,3,3,1,1,1,0,5,3,0,2,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,0,1,1,0,0,0,10,4,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,5,3,0,0,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0
